REPORT_DATE,RESPONDERS SHIFT,METHOD,OFFENSE,BLOCK,WARD,ANC,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE
2025-10-31 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,812 - 899 BLOCK OF BLADENSBURG ROAD NE,5,5D,8802,Cluster 23,38.90127536,-76.98260849
2025-11-21 13:01:16+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1369 BLOCK OF SAVANNAH STREET SE,8,8C,7304,Cluster 38,38.8436834,-76.98685498
2025-11-18 07:30:56+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,7400 - 7499 BLOCK OF 9TH STREET NW,4,4B,10300,Cluster 17,38.98041676,-77.02540773
2025-11-20 17:18:08+00:00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF FAIRMONT STREET NW,1,1A,3600,Cluster 2,38.9247535,-77.03097686
2025-11-21 13:01:22+00:00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF U STREET SE,8,8A,7504,Cluster 28,38.86511102,-76.98098813
2025-11-14 15:52:38+00:00,DAY,OTHERS,THEFT/OTHER,900 - 979 BLOCK OF 17TH STREET NE,5,5D,8904,Cluster 23,38.90137764,-76.97899292
2025-11-18 18:52:13+00:00,DAY,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF CONNECTICUT AVENUE NW,3,3F,1301,Cluster 12,38.94925416,-77.06646431
2025-11-21 04:22:17+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 3RD STREET NE,6,6C,10602,Cluster 25,38.90643833,-77.0020386
2025-11-01 02:38:32+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4600 - 4899 BLOCK OF B STREET SE,7,7E,9906,Cluster 33,38.88750851,-76.93416803
2025-11-01 15:31:11+00:00,DAY,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,2,2E,202,Cluster 4,38.90515109,-77.0639959
