X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401508.579999998,137047.02,25117316,2025/10/31 04:00:00+00,MIDNIGHT,OTHERS,HOMICIDE,812 - 899 BLOCK OF BLADENSBURG ROAD NE,401508.58,137047.02,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9012753565,-76.9826084878,,2025/08/02 22:13:00+00,,844172342,
401141.149999999,130653.82,25425062,2025/11/21 13:01:16+00,DAY,OTHERS,THEFT/OTHER,1300 - 1369 BLOCK OF SAVANNAH STREET SE,401141.15,130653.82,8,8C,7,705,Cluster 38,007304 3,007304,Precinct 120,38.8436833988,-76.9868549803,,2025/11/03 20:05:00+00,2025/11/19 20:05:00+00,844172908,
397798.520000003,145832.579999998,25175086,2025/11/18 07:30:56+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,7400 - 7499 BLOCK OF 9TH STREET NW,397798.52,145832.58,4,4B,4,401,Cluster 17,010300 2,010300,Precinct 63,38.9804167596,-77.0254077291,,2025/11/18 04:00:00+00,2025/11/18 05:00:00+00,844172974,
397313.880000003,139653.600000001,25176275,2025/11/20 17:18:08+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF FAIRMONT STREET NW,397313.88,139653.6,1,1A,3,304,Cluster 2,003600 2,003600,Precinct 36,38.9247534971,-77.0309768591,,2025/11/06 23:00:00+00,2025/11/09 16:00:00+00,844172975,
401649.969300002,133032.528499998,25425061,2025/11/21 13:01:22+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF U STREET SE,401649.969343484,133032.528536885,8,8A,7,701,Cluster 28,007504 2,007504,Precinct 114,38.8651110184,-76.9809881336,,2025/11/18 20:33:00+00,2025/11/18 20:40:00+00,844172989,
401822.200000003,137058.440000001,25173144,2025/11/14 15:52:38+00,DAY,OTHERS,THEFT/OTHER,900 - 979 BLOCK OF 17TH STREET NE,401822.2,137058.44,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.9013776378,-76.9789929211,,2025/11/14 14:52:00+00,2025/11/14 15:45:00+00,844173026,
394238.609999999,142375.030000001,25175216,2025/11/18 18:52:13+00,DAY,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF CONNECTICUT AVENUE NW,394238.61,142375.03,3,3F,2,203,Cluster 12,001301 1,001301,Precinct 138,38.9492541582,-77.0664643124,,2025/11/17 23:00:00+00,2025/11/17 23:30:00+00,844173068,
399823.18,137620.010000002,25176597,2025/11/21 04:22:17+00,MIDNIGHT,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 3RD STREET NE,399823.18,137620.01,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.906438329,-77.0020385991,NOMA,2025/11/21 03:33:00+00,2025/11/21 03:42:00+00,844173069,
405711.519100003,135520.707199998,25165913,2025/11/01 02:38:32+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4600 - 4899 BLOCK OF B STREET SE,405711.519075253,135520.707195194,7,7E,6,604,Cluster 33,009906 1,009906,Precinct 104,38.8875085125,-76.9341680289,,2025/11/01 00:35:00+00,2025/11/01 01:28:00+00,844173188,
394449.149999999,137479.059999999,25166222,2025/11/01 15:31:11+00,DAY,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449.15,137479.06,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,38.9051510928,-77.0639958956,GEORGETOWN,2025/11/01 14:45:00+00,2025/11/01 14:48:00+00,844173189,
